name,address,website,normal_score
Shami,"Marktstr. 6, 80802 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10000500,4.5
Trumpf oder Kritisch,"Feilitzschstrasse 14, 80802 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10021981,4.0
Chocolaterie Eva,"Arnulfstr. 20, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10025671,4.0
Yildiz,"Kazmairstr. 37, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10025883,
Pizza Best,"Burgauerstr. 117, 81929 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10027839,3.5
Gustosa,"Schleissheimer Str. 506, 80933 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10028945,5.0
Evelinas bistrobar,"Schleissheimer Str. 69 Eingang Görresstraße, 80797 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10031271,4.5
Nihao,"Pasinger Bahnhofsplatz 2, 81241 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10033159,3.5
Cornelius Tagesbar,"Corneliusstr. 31, 80469 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10034042,4.5
Gasthaus Tannengarten,"Pfeuferstr. 32, 81373 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10040169,3.5
Kreta Meer,"Moosacher Str. 81, 80809 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10047399,4.0
L'Osteria Munchen Hauptbahnhof,"Arnulfstrasse 1 Opposite to Central station, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10047654,3.5
Galeria Kaufhof Munchen Marienplatz,"Kaufingerstr. 1-5 4 Obergeschoss, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10056433,4.5
The Italian Shot Maxvorstadt,"Theresienstr. 40, 80333 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10060342,4.0
Ristorante Pizzeria Florenz,"Helene-Weber-Allee 9 Tram 20, 21 Haltestelle Heideckstraße, 80637 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10066461,4.5
Little Rabbit's Room,"Wiener Platz 6, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10066600,3.0
MILOS,"Donnersbergerstr. 30, 80634 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10067347,4.0
Gundelinde,"Gundelindenstr. 11 gute Parkmöglichkeiten vor dem Laden, 5 Min U-Bahn Dietlindenstr., 80805 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10073431,5.0
Filos,"Rumfordstr. 39, 80469 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10074557,
Speisezimmer,"Camerloherstr. 82, 80689 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10076280,5.0
Dean & David,"Karlsplatz Stachus 1. UG, Laden A270, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10080625,3.5
Chocolatte Konditorei & Backerei,"Prinzregentenstr. 111, 81677 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10083072,4.5
Kistenpfennig Familienbäckerei,"Amalienstr. 28, 80333 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10083958,4.0
Sendlinger Treff,"Plinganserstr. 14a, 81369 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10084208,4.5
"Relax - Food, Drinks & You","Senefelderstr. 9, 80336 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10085253,4.5
Heiliggeist 1 Bar,"Heiliggeiststr. 1, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10087869,4.0
Hai Asia Vietnamesische Kuche & Sushi,"Altheimer Eck 1, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10089475,4.0
Nefeli,"Berger-Kreuz-Str. 26, 81735 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1009121,4.5
